id	url	originalCategory	scope	keyword	volumeUSHistorical	originalPriority	implementedEvidence	releaseAction	sourceGroupIds
U001	/	site	other_module			先做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	[]
U002	/tools	site	other_module			先做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P113""]"
U003	/songs	songs	other_module	piano songs	14800	先做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P002"", ""P009"", ""P014"", ""P018"", ""P022"", ""P041"", ""P042"", ""P043""]"
U004	/songs/easy	songs	other_module	easy piano songs	18100	先做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P001"", ""P006"", ""P036"", ""P037"", ""P039"", ""P040""]"
U036	/tools/blank-sheet-music	sheet_music	other_module	empty piano sheet music	390	先做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P079""]"
U067	/keyboard-notes	keyboard_notes	other_module	piano keys	33100	先做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P117"", ""P118"", ""P120"", ""P122"", ""P123"", ""P124"", ""P127"", ""P129"", ""P130"", ""P133"", ""P134"", ""P138"", ""P139"", ""P140"", ""P141"", ""P142"", ""P147""]"
U068	/keyboard-notes/labeled	keyboard_notes	other_module	keys on a piano keyboard labeled	12100	先做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P119"", ""P137"", ""P223"", ""P241""]"
U069	/keyboard-notes/chart	keyboard_notes	other_module	piano notes chart	4400	先做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P121"", ""P132"", ""P143"", ""P145"", ""P146""]"
U075	/chords	chords	core_chords	piano chord chart	6600	先做	user_report_exists	preserve_and_finish_tasks	"[""P148"", ""P154"", ""P158"", ""P168"", ""P170"", ""P171"", ""P238"", ""P247""]"
U076	/chords/a-major	chords	core_chords	a chord piano	4400	先做	user_report_exists	preserve_and_finish_tasks	"[""P149""]"
U078	/chords/a-minor	chords	core_chords	am piano chord	1900	先做	user_report_exists	preserve_and_finish_tasks	"[""P151""]"
U081	/chords/c-major	chords	core_chords	c chords piano	480	先做	user_report_exists	preserve_and_finish_tasks	"[""P163""]"
U088	/scales	scales	other_module	piano scales	6600	先做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P179"", ""P180"", ""P181"", ""P190"", ""P196"", ""P204"", ""P208"", ""P210"", ""P213"", ""P214"", ""P222"", ""P224"", ""P233"", ""P235""]"
U090	/scales/c-major	scales	other_module	c major scale piano	1300	先做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P183""]"
U091	/scales/a-minor	scales	other_module	a minor scale piano	1000	先做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P184""]"
U114	/guide	guide	other_module	how to play piano for beginners	1300	先做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P226"", ""P240"", ""P255""]"
U115	/guide/read-sheet-music	guide	other_module	how to read sheet music piano	18100	先做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P218"", ""P228"", ""P229"", ""P236"", ""P248"", ""P249""]"
U005	/songs/christmas	songs	other_module	easy christmas songs in piano	2900	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P003"", ""P008""]"
