关键词ID	关键词（原规范词）	搜索量（US原值）	原清洗状态	建议URL	URL ID	优先级	URL处理状态	与URL主词关系	原任务组ID	原页面代表词	原归并关系	原分类	URL分类	搜索意图分组	同页分区	KD	CPC_USD	原工具Intent	原搜索量状态	原来源类型	原来源记录ID	原来源位置	原始拼写	原翻译/纠错记录	原清洗依据	本次URL判断依据	本版交付状态	本版页面模板	本版必须交付
K0018	piano chord chart	6600	保留	/chords	U075	先做	有规划URL	URL主关键词	P148	piano chord chart	页面代表词	chords	chords	查和弦键位		28	1.42	I	Semrush US原词估算	Semrush US 单词数据; Semrush Strategy Builder 页面建议	S0291; S1746; S1868; S1936	piano_keyword_research_combined.xlsx｜关键词数据!A296:G296; 关键词策略构建器数据汇总.md｜L73｜piano chord chart > piano chord chart; 关键词策略构建器数据汇总.md｜L318｜beginner piano sheet music > easy piano sheet music with chords; 关键词策略构建器数据汇总.md｜L460｜piano scales > piano chords and progressions	piano chord chart		同一对象与同一交付任务；人工词义归并	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	默认有图表；根音/类型选择、试听、打印及读图说明。
K0027	keyboard chord sheet	5400	保留	/chords	U075	先做	有规划URL	URL主词的原同义词	P148	piano chord chart	同义词合并	chords	chords	查和弦键位		30	1.42	I	Semrush US原词估算	Semrush US 单词数据	S0293	piano_keyword_research_combined.xlsx｜关键词数据!A298:G298	keyboard chord sheet		同一对象与同一交付任务；人工词义归并	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	默认有图表；根音/类型选择、试听、打印及读图说明。
K0030	a chord piano	4400	保留	/chords/a-major	U076	先做	有规划URL	URL主关键词	P149	a chord piano	页面代表词	chords	chords	查和弦键位		25	0.58	I	Semrush US原词估算	Semrush US 单词数据; Semrush Strategy Builder 页面建议	S0294; S1747; S1869; S1937	piano_keyword_research_combined.xlsx｜关键词数据!A299:G299; 关键词策略构建器数据汇总.md｜L74｜piano chord chart > piano chord chart; 关键词策略构建器数据汇总.md｜L319｜beginner piano sheet music > easy piano sheet music with chords; 关键词策略构建器数据汇总.md｜L461｜piano scales > piano chords and progressions	a chord piano		同一对象与同一交付任务；人工词义归并	音名/和弦品质不同且来源已有该对象需求，允许共享模板但独立内容；不生成未在词表中的音符组合	模板已确认；此实例内容待审核	T07	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接
K0037	b chord piano	3600	保留	/chords/b-major	U077	后做	有规划URL	URL主关键词	P150	b chord piano	页面代表词	chords	chords	查和弦键位		18	0	I	Semrush US原词估算	Semrush US 单词数据; Semrush Strategy Builder 页面建议	S0295; S1967	piano_keyword_research_combined.xlsx｜关键词数据!A300:G300; 关键词策略构建器数据汇总.md｜L512｜piano scales > piano scales and fingering	b chord piano		同一对象与同一交付任务；人工词义归并	音名/和弦品质不同且来源已有该对象需求，允许共享模板但独立内容；不生成未在词表中的音符组合	模板已确认；此实例内容待审核	T07	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接
K0052	keyboard chord chart	2900	保留	/chords	U075	先做	有规划URL	URL主词的原同义词	P148	piano chord chart	同义词合并	chords	chords	查和弦键位		27	1.42	I	Semrush US原词估算	Semrush US 单词数据	S0297	piano_keyword_research_combined.xlsx｜关键词数据!A302:G302	keyboard chord chart		同一对象与同一交付任务；人工词义归并	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	默认有图表；根音/类型选择、试听、打印及读图说明。
K0059	a piano chord	2400	保留	/chords/a-major	U076	先做	有规划URL	URL主词的原同义词	P149	a chord piano	同义词合并	chords	chords	查和弦键位		27	0.58	I	Semrush US原词估算	Semrush US 单词数据	S0299	piano_keyword_research_combined.xlsx｜关键词数据!A304:G304	a piano chord		同一对象与同一交付任务；人工词义归并	音名/和弦品质不同且来源已有该对象需求，允许共享模板但独立内容；不生成未在词表中的音符组合	模板已确认；此实例内容待审核	T07	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接
K0060	b piano chord	2400	保留	/chords/b-major	U077	后做	有规划URL	URL主词的原同义词	P150	b chord piano	同义词合并	chords	chords	查和弦键位		17	0	I	Semrush US原词估算	Semrush US 单词数据	S0300	piano_keyword_research_combined.xlsx｜关键词数据!A305:G305	b piano chord		同一对象与同一交付任务；人工词义归并	音名/和弦品质不同且来源已有该对象需求，允许共享模板但独立内容；不生成未在词表中的音符组合	模板已确认；此实例内容待审核	T07	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接
K0062	common chord progressions	2400	保留	/chord-progressions	U087	后做	有规划URL	同页其他任务/查询；原归并关系另存	P172	common chord progressions	页面代表词	chord_progressions	chord_progressions	查和弦走向	common	30	0.35	I	Semrush US原词估算	Semrush US 单词数据	S0302	piano_keyword_research_combined.xlsx｜关键词数据!A307:G307	common chord progressions		同一对象与同一交付任务；人工词义归并	common、调性、情绪先在同一有例子的走向库筛选；并非同义合并；不把通用common词量替代piano主词量	后续同页补齐	T10	常见和弦走向集合；必须在该页提供实际结果，不只增加一个关键词。
K0073	am piano chord	1900	保留	/chords/a-minor	U078	先做	有规划URL	URL主关键词	P151	am piano chord	页面代表词	chords	chords	查和弦键位		19	0	I	Semrush US原词估算	Semrush US 单词数据	S0303	piano_keyword_research_combined.xlsx｜关键词数据!A308:G308	am piano chord		同一对象与同一交付任务；人工词义归并	音名/和弦品质不同且来源已有该对象需求，允许共享模板但独立内容；不生成未在词表中的音符组合	模板已确认；此实例内容待审核	T07	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接
K0074	chords of key	1900	保留	/chords/by-key	U085	后做	有规划URL	URL主关键词	P152	chords of key	页面代表词	chords	chords	查调内和弦		20	2.38	I	Semrush US原词估算	Semrush US 单词数据; Semrush Strategy Builder 页面建议	S0305; S1872	piano_keyword_research_combined.xlsx｜关键词数据!A310:G310; 关键词策略构建器数据汇总.md｜L322｜beginner piano sheet music > easy piano sheet music with chords	chords of key		同一对象与同一交付任务；人工词义归并	调内和弦集合不等于单个同名和弦；初版各调先用一张查询表承接，不机械复制调性URL	按页面准备顺序验收	T08	有内容的调性选择器与各级和弦表；支持已有G/D/C/E/A/F及D minor任务
