url	keyword	role	source_group_id	historical_volume_us	volume_status	coverage	limits	evidence_status
/chords	piano chord chart	primary	P148	6600	original supplied estimate, not current	existing_content_evidence_only		[已核实] baseline mapping
/chords	keyboard chord sheet	baseline_variant_or_same_page_task	P148		not supplied / not measured	existing_content_evidence_only		[已核实] baseline mapping
/chords	keyboard chord chart	baseline_variant_or_same_page_task	P148		not supplied / not measured	existing_content_evidence_only		[已核实] baseline mapping
/chords	music chord charts piano	baseline_variant_or_same_page_task	P148		not supplied / not measured	existing_content_evidence_only		[已核实] baseline mapping
/chords	chord chart piano	baseline_variant_or_same_page_task	P148		not supplied / not measured	existing_content_evidence_only		[已核实] baseline mapping
/chords	all chords on a piano	baseline_variant_or_same_page_task	P148		not supplied / not measured	pending_or_partial	PARTIAL_19_TRIADS_NOT_ALL_CHORDS	[已核实] baseline mapping
/chords	keyboard chords	baseline_variant_or_same_page_task	P148		not supplied / not measured	existing_content_evidence_only		[已核实] baseline mapping
/chords	piano chord cheat sheet	baseline_variant_or_same_page_task	P148		not supplied / not measured	existing_content_evidence_only		[已核实] baseline mapping
/chords	piano chord diagram	baseline_variant_or_same_page_task	P148		not supplied / not measured	existing_content_evidence_only		[已核实] baseline mapping
/chords	all chords piano	baseline_variant_or_same_page_task	P148		not supplied / not measured	pending_or_partial	PARTIAL_19_TRIADS_NOT_ALL_CHORDS	[已核实] baseline mapping
/chords	chord cheat sheet piano	baseline_variant_or_same_page_task	P148		not supplied / not measured	existing_content_evidence_only		[已核实] baseline mapping
/chords	chord sheet piano	baseline_variant_or_same_page_task	P148		not supplied / not measured	existing_content_evidence_only		[已核实] baseline mapping
/chords	chords piano chart	baseline_variant_or_same_page_task	P148		not supplied / not measured	existing_content_evidence_only		[已核实] baseline mapping
/chords	piano chords cheat sheet	baseline_variant_or_same_page_task	P148		not supplied / not measured	existing_content_evidence_only		[已核实] baseline mapping
/chords	chord sheets for piano	baseline_variant_or_same_page_task	P148		not supplied / not measured	existing_content_evidence_only		[已核实] baseline mapping
/chords	keyboard chords chart	baseline_variant_or_same_page_task	P148		not supplied / not measured	existing_content_evidence_only		[已核实] baseline mapping
/chords	piano chord charts	baseline_variant_or_same_page_task	P148		not supplied / not measured	existing_content_evidence_only		[已核实] baseline mapping
