url	kind	subtype	root	status
/chords/diminished	category	diminished		publish_N2B
/chords/augmented	category	augmented		publish_N2B
/chords/suspended	category	suspended		publish_N2B
/chords/a-augmented	detail	augmented	A	publish_N2B
/chords/a-diminished	detail	diminished	A	publish_N2B
/chords/a-flat-augmented	detail	augmented	A♭	publish_N2B
/chords/a-flat-diminished	detail	diminished	A♭	publish_N2B
/chords/a-flat-sus2	detail	sus2	A♭	publish_N2B
/chords/a-flat-sus4	detail	sus4	A♭	publish_N2B
/chords/a-sus2	detail	sus2	A	publish_N2B
/chords/a-sus4	detail	sus4	A	publish_N2B
/chords/b-augmented	detail	augmented	B	publish_N2B
/chords/b-diminished	detail	diminished	B	publish_N2B
/chords/b-flat-augmented	detail	augmented	B♭	publish_N2B
/chords/b-flat-diminished	detail	diminished	B♭	publish_N2B
/chords/b-flat-sus2	detail	sus2	B♭	publish_N2B
/chords/b-flat-sus4	detail	sus4	B♭	publish_N2B
/chords/b-sus2	detail	sus2	B	publish_N2B
/chords/b-sus4	detail	sus4	B	publish_N2B
/chords/c-augmented	detail	augmented	C	publish_N2B
/chords/c-diminished	detail	diminished	C	publish_N2B
/chords/c-sus2	detail	sus2	C	publish_N2B
/chords/c-sus4	detail	sus4	C	publish_N2B
/chords/d-augmented	detail	augmented	D	publish_N2B
/chords/d-diminished	detail	diminished	D	publish_N2B
/chords/d-flat-augmented	detail	augmented	D♭	publish_N2B
/chords/d-flat-diminished	detail	diminished	D♭	publish_N2B
/chords/d-flat-sus2	detail	sus2	D♭	publish_N2B
/chords/d-flat-sus4	detail	sus4	D♭	publish_N2B
/chords/d-sus2	detail	sus2	D	publish_N2B
/chords/d-sus4	detail	sus4	D	publish_N2B
/chords/e-augmented	detail	augmented	E	publish_N2B
/chords/e-diminished	detail	diminished	E	publish_N2B
/chords/e-flat-augmented	detail	augmented	E♭	publish_N2B
/chords/e-flat-diminished	detail	diminished	E♭	publish_N2B
/chords/e-flat-sus2	detail	sus2	E♭	publish_N2B
/chords/e-flat-sus4	detail	sus4	E♭	publish_N2B
/chords/e-sus2	detail	sus2	E	publish_N2B
/chords/e-sus4	detail	sus4	E	publish_N2B
/chords/f-augmented	detail	augmented	F	publish_N2B
/chords/f-diminished	detail	diminished	F	publish_N2B
/chords/f-sharp-augmented	detail	augmented	F♯	publish_N2B
/chords/f-sharp-diminished	detail	diminished	F♯	publish_N2B
/chords/f-sharp-sus2	detail	sus2	F♯	publish_N2B
/chords/f-sharp-sus4	detail	sus4	F♯	publish_N2B
/chords/f-sus2	detail	sus2	F	publish_N2B
/chords/f-sus4	detail	sus4	F	publish_N2B
/chords/g-augmented	detail	augmented	G	publish_N2B
/chords/g-diminished	detail	diminished	G	publish_N2B
/chords/g-sus2	detail	sus2	G	publish_N2B
/chords/g-sus4	detail	sus4	G	publish_N2B
