url	kind	subtype	root	status
/chords/seventh	category	seventh		publish_N2C
/chords/a-7	detail	dominant7	A	publish_N2C
/chords/a-flat-7	detail	dominant7	A♭	publish_N2C
/chords/a-flat-m7-flat5	detail	halfDiminished7	A♭	publish_N2C
/chords/a-flat-m7	detail	minor7	A♭	publish_N2C
/chords/a-flat-maj7	detail	major7	A♭	publish_N2C
/chords/a-m7-flat5	detail	halfDiminished7	A	publish_N2C
/chords/a-m7	detail	minor7	A	publish_N2C
/chords/a-maj7	detail	major7	A	publish_N2C
/chords/b-7	detail	dominant7	B	publish_N2C
/chords/b-flat-7	detail	dominant7	B♭	publish_N2C
/chords/b-flat-m7-flat5	detail	halfDiminished7	B♭	publish_N2C
/chords/b-flat-m7	detail	minor7	B♭	publish_N2C
/chords/b-flat-maj7	detail	major7	B♭	publish_N2C
/chords/b-m7-flat5	detail	halfDiminished7	B	publish_N2C
/chords/b-m7	detail	minor7	B	publish_N2C
/chords/b-maj7	detail	major7	B	publish_N2C
/chords/c-7	detail	dominant7	C	publish_N2C
/chords/c-m7-flat5	detail	halfDiminished7	C	publish_N2C
/chords/c-m7	detail	minor7	C	publish_N2C
/chords/c-maj7	detail	major7	C	publish_N2C
/chords/d-7	detail	dominant7	D	publish_N2C
/chords/d-flat-7	detail	dominant7	D♭	publish_N2C
/chords/d-flat-m7-flat5	detail	halfDiminished7	D♭	publish_N2C
/chords/d-flat-m7	detail	minor7	D♭	publish_N2C
/chords/d-flat-maj7	detail	major7	D♭	publish_N2C
/chords/d-m7-flat5	detail	halfDiminished7	D	publish_N2C
/chords/d-m7	detail	minor7	D	publish_N2C
/chords/d-maj7	detail	major7	D	publish_N2C
/chords/e-7	detail	dominant7	E	publish_N2C
/chords/e-flat-7	detail	dominant7	E♭	publish_N2C
/chords/e-flat-m7-flat5	detail	halfDiminished7	E♭	publish_N2C
/chords/e-flat-m7	detail	minor7	E♭	publish_N2C
/chords/e-flat-maj7	detail	major7	E♭	publish_N2C
/chords/e-m7-flat5	detail	halfDiminished7	E	publish_N2C
/chords/e-m7	detail	minor7	E	publish_N2C
/chords/e-maj7	detail	major7	E	publish_N2C
/chords/f-7	detail	dominant7	F	publish_N2C
/chords/f-m7-flat5	detail	halfDiminished7	F	publish_N2C
/chords/f-m7	detail	minor7	F	publish_N2C
/chords/f-maj7	detail	major7	F	publish_N2C
/chords/f-sharp-7	detail	dominant7	F♯	publish_N2C
/chords/f-sharp-m7-flat5	detail	halfDiminished7	F♯	publish_N2C
/chords/f-sharp-m7	detail	minor7	F♯	publish_N2C
/chords/f-sharp-maj7	detail	major7	F♯	publish_N2C
/chords/g-7	detail	dominant7	G	publish_N2C
/chords/g-m7-flat5	detail	halfDiminished7	G	publish_N2C
/chords/g-m7	detail	minor7	G	publish_N2C
/chords/g-maj7	detail	major7	G	publish_N2C
