url	type	status	name	quality	root	provenance
/chords/major	category	publish_in_N1	Major Chords	major		
/chords/minor	category	publish_in_N1	Minor Chords	minor		
/chords/f-major	chord_detail	publish_in_N1	F Major	major	F	current_hub
/chords/d-minor	chord_detail	publish_in_N1	D Minor	minor	D	current_hub
/chords/e-minor	chord_detail	publish_in_N1	E Minor	minor	E	current_hub
/chords/d-major	chord_detail	publish_in_N1	D Major	major	D	current_hub
/chords/b-minor	chord_detail	publish_in_N1	B Minor	minor	B	current_hub
/chords/f-sharp-minor	chord_detail	publish_in_N1	F-sharp Minor	minor	F♯	current_hub
/chords/c-sharp-minor	chord_detail	publish_in_N1	C-sharp Minor	minor	C♯	current_hub
/chords/g-sharp-minor	chord_detail	publish_in_N1	G-sharp Minor	minor	G♯	current_hub
/chords/b-flat-major	chord_detail	publish_in_N1	B-flat Major	major	B♭	current_hub
/chords/g-minor	chord_detail	publish_in_N1	G Minor	minor	G	current_hub
/chords/d-flat-major	chord_detail	publish_in_N1	D-flat Major	major	D♭	new_derived
/chords/e-flat-major	chord_detail	publish_in_N1	E-flat Major	major	E♭	new_derived
/chords/f-sharp-major	chord_detail	publish_in_N1	F-sharp Major	major	F♯	new_derived
/chords/f-minor	chord_detail	publish_in_N1	F Minor	minor	F	new_derived
/chords/b-flat-minor	chord_detail	publish_in_N1	B-flat Minor	minor	B♭	new_derived
/chords/e-flat-minor	chord_detail	publish_in_N1	E-flat Minor	minor	E♭	new_derived
