
name                exit seconds log                                                                                   
----                ---- ------- ---                                                                                   
check-foundation       0       4 docs\product-upgrade\b05-b07-v2\delivery\final\closeout-logs\log-check-foundation.txt 
typecheck              0      11 docs\product-upgrade\b05-b07-v2\delivery\final\closeout-logs\log-typecheck.txt        
check-css              0       3 docs\product-upgrade\b05-b07-v2\delivery\final\closeout-logs\log-check-css.txt        
check                  0       5 docs\product-upgrade\b05-b07-v2\delivery\final\closeout-logs\log-check.txt            
b05-plan               0       0 docs\product-upgrade\b05-b07-v2\delivery\final\closeout-logs\log-b05-plan.txt         
b06-plan               0       0 docs\product-upgrade\b05-b07-v2\delivery\final\closeout-logs\log-b06-plan.txt         
b06-pdfs               0       0 docs\product-upgrade\b05-b07-v2\delivery\final\closeout-logs\log-b06-pdfs.txt         
b05-browser            0      17 docs\product-upgrade\b05-b07-v2\delivery\final\closeout-logs\log-b05-browser.txt      
b06-browser            0       4 docs\product-upgrade\b05-b07-v2\delivery\final\closeout-logs\log-b06-browser.txt      
b07-links              0      62 docs\product-upgrade\b05-b07-v2\delivery\final\closeout-logs\log-b07-links.txt        
b07-events             0       5 docs\product-upgrade\b05-b07-v2\delivery\final\closeout-logs\log-b07-events.txt       
b07-browser            0      32 docs\product-upgrade\b05-b07-v2\delivery\final\closeout-logs\log-b07-browser.txt      
songs-sheet-v2         0       1 docs\product-upgrade\b05-b07-v2\delivery\final\closeout-logs\log-songs-sheet-v2.txt   
practical-tools        0       1 docs\product-upgrade\b05-b07-v2\delivery\final\closeout-logs\log-practical-tools.txt  
keyboard-practice      0      30 docs\product-upgrade\b05-b07-v2\delivery\final\closeout-logs\log-keyboard-practice.txt
keyboard-completion    0       1 docs\product-upgrade\b05-b07-v2\delivery\final\closeout-logs\log-keyboard-completio...
build                  0     126 docs\product-upgrade\b05-b07-v2\delivery\final\closeout-logs\log-build.txt            
git-diff-check         0       0 docs\product-upgrade\b05-b07-v2\delivery\final\closeout-logs\log-git-diff-check.txt   



