id,requested_url,checked_at_utc,status,final_url,title_values,h1_values,meta_description_values,canonical_values,meta_robots,x_robots_tag,fetch_error
PG-001,https://pianogrid.com/scales/f-major,2026-09-24T23:53:00.449797+00:00,200,https://pianogrid.com/scales/f-major,"[""F Major Piano Scale: Notes and Fingering | PianoGrid""]","[""F Major Piano Scale: Notes and Fingering""]","[""See F major notes, key signature, keyboard pitches and separately verified one-octave fingering for each hand and direction.""]","[""https://pianogrid.com/scales/f-major""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-002,https://pianogrid.com/scales/g-major,2026-09-24T23:53:00.450845+00:00,200,https://pianogrid.com/scales/g-major,"[""G Major Piano Scale: Notes and Fingering | PianoGrid""]","[""G Major Piano Scale: Notes and Fingering""]","[""See G major notes, key signature, keyboard pitches and separately verified one-octave fingering for each hand and direction.""]","[""https://pianogrid.com/scales/g-major""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-003,https://pianogrid.com/scales/pentatonic,2026-09-24T23:53:01.953952+00:00,200,https://pianogrid.com/scales/pentatonic,"[""Pentatonic Scales on Piano: Major and Minor | PianoGrid""]","[""Pentatonic Scales on Piano: Major and Minor""]","[""See five pentatonic examples, compare major and minor forms, and find their notes on the keyboard.""]","[""https://pianogrid.com/scales/pentatonic""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-004,https://pianogrid.com/chords/a-diminished,2026-09-24T23:53:01.996007+00:00,200,https://pianogrid.com/chords/a-diminished,"[""A Diminished Piano Chord (Adim): Notes & Inversions | PianoGrid""]","[""A Diminished Piano Chord""]","[""Find the A diminished chord on piano: A, C, E♭. See three keyboard positions, sound and a printable reference.""]","[""https://pianogrid.com/chords/a-diminished""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-005,https://pianogrid.com/chords/d-diminished,2026-09-24T23:53:03.642119+00:00,200,https://pianogrid.com/chords/d-diminished,"[""D Diminished Piano Chord (Ddim): Notes & Inversions | PianoGrid""]","[""D Diminished Piano Chord""]","[""Find the D diminished chord on piano: D, F, A♭. See three keyboard positions, sound and a printable reference.""]","[""https://pianogrid.com/chords/d-diminished""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-006,https://pianogrid.com/chords/d-flat-major,2026-09-24T23:53:03.727583+00:00,200,https://pianogrid.com/chords/d-flat-major,"[""D-flat Major Piano Chord (D♭): Notes, Inversions & PDF""]","[""D-flat Major Piano Chord""]","[""Find the d-flat major chord on piano: D♭, F, A♭. See keyboard positions, compare three inversions, hear the notes and print a reference.""]","[""https://pianogrid.com/chords/d-flat-major""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-007,https://pianogrid.com/chords/f-m7,2026-09-24T23:53:05.231774+00:00,200,https://pianogrid.com/chords/f-m7,"[""Fm7 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid""]","[""Fm7 Chord""]","[""Learn the Fm7 chord on piano: F, A♭, C and E♭. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/f-m7""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-008,https://pianogrid.com/chords/f-sharp-major,2026-09-24T23:53:05.277928+00:00,200,https://pianogrid.com/chords/f-sharp-major,"[""F-sharp Major Piano Chord (F♯): Notes, Inversions & PDF""]","[""F-sharp Major Piano Chord""]","[""Find the f-sharp major chord on piano: F♯, A♯, C♯. See keyboard positions, compare three inversions, hear the notes and print a reference.""]","[""https://pianogrid.com/chords/f-sharp-major""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-009,https://pianogrid.com/guide/piano-scales,2026-09-24T23:53:06.678688+00:00,200,https://pianogrid.com/guide/piano-scales,"[""Piano Scales for Beginners: A Practice Routine | PianoGrid""]","[""Piano scales for beginners""]","[""Choose one piano scale, check its notes and available fingering, then follow a short routine with playback, note checks and printable resources.""]","[""https://pianogrid.com/guide/piano-scales""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-010,https://pianogrid.com/keyboard-notes/blank,2026-09-24T23:53:06.736288+00:00,200,https://pianogrid.com/keyboard-notes/blank,"[""Blank Piano Keyboard Worksheet | PianoGrid""]","[""Blank Piano Keyboard Worksheet""]","[""Print an unlabeled 13-key or 25-key keyboard segment to write note names, mark a scale or make your own exercise.""]","[""https://pianogrid.com/keyboard-notes/blank""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-011,https://pianogrid.com/scales/a-major,2026-09-24T23:53:07.780069+00:00,200,https://pianogrid.com/scales/a-major,"[""A Major Piano Scale: Notes and Fingering | PianoGrid""]","[""A Major Piano Scale: Notes and Fingering""]","[""See A major notes, key signature, keyboard pitches and separately verified one-octave fingering for each hand and direction.""]","[""https://pianogrid.com/scales/a-major""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-012,https://pianogrid.com/scales/c-minor,2026-09-24T23:53:08.082462+00:00,200,https://pianogrid.com/scales/c-minor,"[""C Minor Scale on Piano: Natural, Harmonic & Melodic | PianoGrid""]","[""C Minor Scale on Piano: Natural, Harmonic & Melodic""]","[""Find the notes of C minor, compare its three forms and descending patterns, and read source-checked piano fingerings.""]","[""https://pianogrid.com/scales/c-minor""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-013,https://pianogrid.com/scales/d-minor,2026-09-24T23:53:09.299929+00:00,200,https://pianogrid.com/scales/d-minor,"[""D Minor Scale on Piano: Natural, Harmonic & Melodic | PianoGrid""]","[""D Minor Scale on Piano: Natural, Harmonic & Melodic""]","[""Find the notes of D minor, compare its three forms and descending patterns, and read source-checked piano fingerings.""]","[""https://pianogrid.com/scales/d-minor""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-014,https://pianogrid.com/scales/e-major,2026-09-24T23:53:09.593072+00:00,200,https://pianogrid.com/scales/e-major,"[""E Major Piano Scale: Notes and Fingering | PianoGrid""]","[""E Major Piano Scale: Notes and Fingering""]","[""See E major notes, key signature, keyboard pitches and separately verified one-octave fingering for each hand and direction.""]","[""https://pianogrid.com/scales/e-major""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-015,https://pianogrid.com/chords/a-sus2,2026-09-24T23:53:10.928461+00:00,200,https://pianogrid.com/chords/a-sus2,"[""Asus2 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid""]","[""Asus2 Chord""]","[""Learn the Asus2 chord on piano: A, B and E. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/a-sus2""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-016,https://pianogrid.com/chords/d-maj7,2026-09-24T23:53:11.015521+00:00,200,https://pianogrid.com/chords/d-maj7,"[""Dmaj7 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid""]","[""Dmaj7 Chord""]","[""Learn the Dmaj7 chord on piano: D, F♯, A and C♯. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/d-maj7""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-017,https://pianogrid.com/chords/g-diminished,2026-09-24T23:53:12.399190+00:00,200,https://pianogrid.com/chords/g-diminished,"[""G Diminished Piano Chord (Gdim): Notes & Inversions | PianoGrid""]","[""G Diminished Piano Chord""]","[""Find the G diminished chord on piano: G, B♭, D♭. See three keyboard positions, sound and a printable reference.""]","[""https://pianogrid.com/chords/g-diminished""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-018,https://pianogrid.com/scales/b-minor,2026-09-24T23:53:12.528796+00:00,200,https://pianogrid.com/scales/b-minor,"[""B Minor Scale on Piano: Natural, Harmonic & Melodic | PianoGrid""]","[""B Minor Scale on Piano: Natural, Harmonic & Melodic""]","[""Find the notes of B minor, compare its three forms and descending patterns, and read source-checked piano fingerings.""]","[""https://pianogrid.com/scales/b-minor""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-019,https://pianogrid.com/scales/f-minor,2026-09-24T23:53:13.985322+00:00,200,https://pianogrid.com/scales/f-minor,"[""F Minor Scale on Piano: Natural, Harmonic & Melodic | PianoGrid""]","[""F Minor Scale on Piano: Natural, Harmonic & Melodic""]","[""Find the notes of F minor, compare its three forms and descending patterns, and read source-checked piano fingerings.""]","[""https://pianogrid.com/scales/f-minor""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-020,https://pianogrid.com/scales/harmonic-major,2026-09-24T23:53:14.044819+00:00,200,https://pianogrid.com/scales/harmonic-major,"[""Harmonic Major Scale on Piano | PianoGrid""]","[""Harmonic Major Scale on Piano""]","[""Compare C and G harmonic major with their major scales, including the lowered sixth and augmented second.""]","[""https://pianogrid.com/scales/harmonic-major""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-021,https://pianogrid.com/chords/a-sus4,2026-09-24T23:53:15.726315+00:00,200,https://pianogrid.com/chords/a-sus4,"[""Asus4 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid""]","[""Asus4 Chord""]","[""Learn the Asus4 chord on piano: A, D and E. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/a-sus4""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-022,https://pianogrid.com/chords/b-flat-7,2026-09-24T23:53:15.779370+00:00,200,https://pianogrid.com/chords/b-flat-7,"[""B♭7 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid""]","[""B♭7 Chord""]","[""Learn the B♭7 chord on piano: B♭, D, F and A♭. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/b-flat-7""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-023,https://pianogrid.com/chords/c-augmented,2026-09-24T23:53:17.124559+00:00,200,https://pianogrid.com/chords/c-augmented,"[""C Augmented Piano Chord (Caug): Notes & Inversions | PianoGrid""]","[""C Augmented Piano Chord""]","[""Find the C augmented chord on piano: C, E, G♯. See three keyboard positions, sound and a printable reference.""]","[""https://pianogrid.com/chords/c-augmented""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-024,https://pianogrid.com/chords/e-flat-minor,2026-09-24T23:53:17.286351+00:00,200,https://pianogrid.com/chords/e-flat-minor,"[""E-flat Minor Piano Chord (E♭m): Notes, Inversions & PDF""]","[""E-flat Minor Piano Chord""]","[""Find the e-flat minor chord on piano: E♭, G♭, B♭. See keyboard positions, compare three inversions, hear the notes and print a reference.""]","[""https://pianogrid.com/chords/e-flat-minor""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-025,https://pianogrid.com/chords/e-major,2026-09-24T23:53:18.764187+00:00,200,https://pianogrid.com/chords/e-major,"[""E Major Piano Chord (E): Notes, Inversions & PDF | PianoGrid""]","[""E Major Piano Chord (E)""]","[""Find E major on piano: E, G-sharp and B. See the keyboard positions, compare E/G-sharp and E/B, and print a three-position reference.""]","[""https://pianogrid.com/chords/e-major""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-026,https://pianogrid.com/chords/f-diminished,2026-09-24T23:53:18.815135+00:00,200,https://pianogrid.com/chords/f-diminished,"[""F Diminished Piano Chord (Fdim): Notes & Inversions | PianoGrid""]","[""F Diminished Piano Chord""]","[""Find the F diminished chord on piano: F, A♭, C♭. See three keyboard positions, sound and a printable reference.""]","[""https://pianogrid.com/chords/f-diminished""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
