url,family,chord_name,candidate_keyword_1,candidate_keyword_2,candidate_keyword_3,current_title,current_h1,original_mapping,volume_us,status
/chords/seventh,Seventh,Seventh Piano Chords,7th chords,seventh chords,piano 7th chords,"Seventh Piano Chords: 7, Maj7, Min7 & Half-Diminished",Seventh Piano Chords,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,NEEDS_KEYWORD_REVIEW
/chords/c-add9,Add9,C add9,cadd9 chord,c add9 chord,cadd9 piano chord,"Cadd9 Piano Chord: Notes, Voicings & Practice | PianoGrid",Cadd9 Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/d-flat-add9,Add9,D-flat add9,dbadd9 chord,d flat add9 chord,dbadd9 piano chord,"D♭add9 Piano Chord: Notes, Voicings & Practice | PianoGrid",D♭add9 Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/d-add9,Add9,D add9,dadd9 chord,d add9 chord,dadd9 piano chord,"Dadd9 Piano Chord: Notes, Voicings & Practice | PianoGrid",Dadd9 Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/e-flat-add9,Add9,E-flat add9,ebadd9 chord,e flat add9 chord,ebadd9 piano chord,"E♭add9 Piano Chord: Notes, Voicings & Practice | PianoGrid",E♭add9 Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/e-add9,Add9,E add9,eadd9 chord,e add9 chord,eadd9 piano chord,"Eadd9 Piano Chord: Notes, Voicings & Practice | PianoGrid",Eadd9 Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/f-add9,Add9,F add9,fadd9 chord,f add9 chord,fadd9 piano chord,"Fadd9 Piano Chord: Notes, Voicings & Practice | PianoGrid",Fadd9 Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/f-sharp-add9,Add9,F-sharp add9,f#add9 chord,f sharp add9 chord,f#add9 piano chord,"F♯add9 Piano Chord: Notes, Voicings & Practice | PianoGrid",F♯add9 Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/g-add9,Add9,G add9,gadd9 chord,g add9 chord,gadd9 piano chord,"Gadd9 Piano Chord: Notes, Voicings & Practice | PianoGrid",Gadd9 Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/a-flat-add9,Add9,A-flat add9,abadd9 chord,a flat add9 chord,abadd9 piano chord,"A♭add9 Piano Chord: Notes, Voicings & Practice | PianoGrid",A♭add9 Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/a-add9,Add9,A add9,aadd9 chord,a add9 chord,aadd9 piano chord,"Aadd9 Piano Chord: Notes, Voicings & Practice | PianoGrid",Aadd9 Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/b-flat-add9,Add9,B-flat add9,bbadd9 chord,b flat add9 chord,bbadd9 piano chord,"B♭add9 Piano Chord: Notes, Voicings & Practice | PianoGrid",B♭add9 Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/b-add9,Add9,B add9,badd9 chord,b add9 chord,badd9 piano chord,"Badd9 Piano Chord: Notes, Voicings & Practice | PianoGrid",Badd9 Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/c-madd9,Minor Add9,C minor add9,cm(add9) chord,c minor add9 chord,cm(add9) piano chord,"Cm(add9) Piano Chord: Notes, Voicings & Practice | PianoGrid",Cm(add9) Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/d-flat-madd9,Minor Add9,D-flat minor add9,dbm(add9) chord,d flat minor add9 chord,dbm(add9) piano chord,"D♭m(add9) Piano Chord: Notes, Voicings & Practice | PianoGrid",D♭m(add9) Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/d-madd9,Minor Add9,D minor add9,dm(add9) chord,d minor add9 chord,dm(add9) piano chord,"Dm(add9) Piano Chord: Notes, Voicings & Practice | PianoGrid",Dm(add9) Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/e-flat-madd9,Minor Add9,E-flat minor add9,ebm(add9) chord,e flat minor add9 chord,ebm(add9) piano chord,"E♭m(add9) Piano Chord: Notes, Voicings & Practice | PianoGrid",E♭m(add9) Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/e-madd9,Minor Add9,E minor add9,em(add9) chord,e minor add9 chord,em(add9) piano chord,"Em(add9) Piano Chord: Notes, Voicings & Practice | PianoGrid",Em(add9) Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
