url,family,candidate_piano_query,piano_volume,intent_fit,content_review,current_title_action,gsc_index_status,gsc_selected_canonical,gsc_last_crawl,gsc_first_impression,approved,reason
/chords/b-minor,Minor,b minor chord piano,4400,PENDING_STANDARD_US_SERP,PENDING,KEEP_UNLESS_MISMATCH_PROVEN,,,,,False,明确钢琴查询证据；这是优先投入队列，不是唯一保留页面清单
/chords/d-minor,Minor,d minor chord piano,4400,PENDING_STANDARD_US_SERP,PENDING,KEEP_UNLESS_MISMATCH_PROVEN,,,,,False,明确钢琴查询证据；这是优先投入队列，不是唯一保留页面清单
/chords/c-maj7,Major 7,cmaj7 piano,1300,PENDING_STANDARD_US_SERP,PENDING,KEEP_UNLESS_MISMATCH_PROVEN,,,,,False,明确钢琴查询证据；这是优先投入队列，不是唯一保留页面清单
/chords/c-7,Dominant 7,c7 piano,720,PENDING_STANDARD_US_SERP,PENDING,KEEP_UNLESS_MISMATCH_PROVEN,,,,,False,明确钢琴查询证据；这是优先投入队列，不是唯一保留页面清单
/chords/b-7,Dominant 7,b7 piano,590,PENDING_STANDARD_US_SERP,PENDING,KEEP_UNLESS_MISMATCH_PROVEN,,,,,False,明确钢琴查询证据；这是优先投入队列，不是唯一保留页面清单
/chords/c-m7,Minor 7,cm7 piano,590,PENDING_STANDARD_US_SERP,PENDING,KEEP_UNLESS_MISMATCH_PROVEN,,,,,False,明确钢琴查询证据；这是优先投入队列，不是唯一保留页面清单
/chords/c-add9,Add9,cadd9 piano,590,PENDING_STANDARD_US_SERP,PENDING,KEEP_UNLESS_MISMATCH_PROVEN,,,,,False,明确钢琴查询证据；这是优先投入队列，不是唯一保留页面清单
/chords/c-diminished,Diminished,c diminished chord piano,480,PENDING_STANDARD_US_SERP,PENDING,KEEP_UNLESS_MISMATCH_PROVEN,,,,,False,明确钢琴查询证据；这是优先投入队列，不是唯一保留页面清单
/chords/seventh,Seventh,7th chords piano,390,PENDING_STANDARD_US_SERP,PENDING,KEEP_UNLESS_MISMATCH_PROVEN,,,,,False,明确钢琴查询证据；这是优先投入队列，不是唯一保留页面清单
/chords/a-sus2,Sus2,asus2 piano,320,PENDING_STANDARD_US_SERP,PENDING,KEEP_UNLESS_MISMATCH_PROVEN,,,,,False,明确钢琴查询证据；这是优先投入队列，不是唯一保留页面清单
/chords/a-sus4,Sus4,asus4 piano,260,PENDING_STANDARD_US_SERP,PENDING,KEEP_UNLESS_MISMATCH_PROVEN,,,,,False,明确钢琴查询证据；这是优先投入队列，不是唯一保留页面清单
/chords/b-diminished,Diminished,bdim piano,110,PENDING_STANDARD_US_SERP,PENDING,KEEP_UNLESS_MISMATCH_PROVEN,,,,,False,明确钢琴查询证据；这是优先投入队列，不是唯一保留页面清单
/chords/f-add9,Add9,fadd9 piano,110,PENDING_STANDARD_US_SERP,PENDING,KEEP_UNLESS_MISMATCH_PROVEN,,,,,False,明确钢琴查询证据；这是优先投入队列，不是唯一保留页面清单
/chords/c-augmented,Augmented,c augmented chord piano,70,PENDING_STANDARD_US_SERP,PENDING,KEEP_UNLESS_MISMATCH_PROVEN,,,,,False,明确钢琴查询证据；这是优先投入队列，不是唯一保留页面清单
