url,page_type,root_spelling,pitch_class,inferred_topics,review_note
https://www.pianochord.org/chord-converter.html,Unclassified,C,0,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/roman-numerals-chord-converter.html,Unclassified,,,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/keyboard-notes.html,Unclassified,,,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/notation.html,Unclassified,,,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/info.html,Unclassified,,,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/overviews.html,Unclassified,,,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/learn.html,Unclassified,,,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/inversions.html,Unclassified,,,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/chord-inversions-finder.html,Unclassified,C,0,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/fingerings-movements.html,Unclassified,F,5,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/chord-types.html,Unclassified,C,0,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/chord-symbols.html,Unclassified,C,0,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/chord-steps.html,Unclassified,C,0,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/how-to-combine-piano-chords.html,Unclassified,,,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/progressions.html,Unclassified,,,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/progressions-jazz.html,Unclassified,,,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/broken-chords.html,Unclassified,B,11,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/chord-exercises.html,Unclassified,C,0,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/voicings.html,Unclassified,,,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/substitutions.html,Unclassified,,,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/two-hands.html,Unclassified,,,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/misc.html,Unclassified,,,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/chord-recognition-ear.html,Unclassified,C,0,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/chord-recognition-visual.html,Unclassified,C,0,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/a-alternative-bass.html,Unclassified,A,9,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/am-alternative-bass.html,Unclassified,A,9,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/a7-alternative-bass.html,Unclassified,A,9,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/a9-sus.html,Unclassified,A,9,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/a-altered.html,Unclassified,A,9,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/a7minus9.html,Unclassified,A,9,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/a7plus9.html,Unclassified,A,9,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/a7plus11.html,Unclassified,A,9,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/a13plus11.html,Unclassified,A,9,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/a13minus9.html,Unclassified,A,9,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/a-flat-altered.html,Unclassified,Ab,8,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/a-flat-7minus9.html,Unclassified,Ab,8,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/a-flat-7plus9.html,Unclassified,Ab,8,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/a-flat-7plus11.html,Unclassified,Ab,8,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/a-flat-13plus11.html,Unclassified,Ab,8,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/a-flat-13minus9.html,Unclassified,Ab,8,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/a-sharp-altered.html,Unclassified,A#,10,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/a-sharp-7minus9.html,Unclassified,A#,10,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/a-sharp-7plus9.html,Unclassified,A#,10,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/a-sharp-7plus11.html,Unclassified,A#,10,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/a-sharp-13plus11.html,Unclassified,A#,10,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/a-sharp-13minus9.html,Unclassified,A#,10,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/a7-sus.html,Unclassified,A,9,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/a-add11.html,Unclassified,A,9,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/am-flat-alternative-bass.html,Unclassified,Ab,8,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/a9-flat-sus.html,Unclassified,Ab,8,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/a7-flat-sus.html,Unclassified,Ab,8,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/a-flat-add11.html,Unclassified,Ab,8,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/am-sharp-alternative-bass.html,Unclassified,A#,10,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/a9-sharp-sus.html,Unclassified,A#,10,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/a7-sharp-sus.html,Unclassified,A#,10,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/a-sharp-add11.html,Unclassified,A#,10,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/am-flat-6-9.html,Unclassified,Ab,8,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/am-sharp-6-9.html,Unclassified,A#,10,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/am6-9.html,Unclassified,A,9,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/aminmaj7-flat.html,Unclassified,Ab,8,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/aminmaj9-flat.html,Unclassified,Ab,8,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/aminmaj7-sharp.html,Unclassified,A#,10,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/aminmaj9-sharp.html,Unclassified,A#,10,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/am7-alternative-bass.html,Unclassified,A,9,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/aminmaj7.html,Unclassified,A,9,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/aminmaj9.html,Unclassified,A,9,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/am7-sharp-m7b5.html,Unclassified,A#,10,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/am7-m7b5.html,Unclassified,A,9,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/b-alternative-bass.html,Unclassified,B,11,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/bm-alternative-bass.html,Unclassified,B,11,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/b7-alternative-bass.html,Unclassified,B,11,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/b9-sus.html,Unclassified,B,11,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/b-altered.html,Unclassified,B,11,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/b7minus9.html,Unclassified,B,11,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/b7plus9.html,Unclassified,B,11,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/b7plus11.html,Unclassified,B,11,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/b13plus11.html,Unclassified,B,11,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
https://www.pianochord.org/b13minus9.html,Unclassified,B,11,,URL-pattern matcher did not assign a quality. Do not treat as D minor or flatten a trailing b. Manual review required; not proof of absence.
