url,family,candidate_piano_query,piano_volume,intent_fit,content_review,current_title_action,gsc_index_status,gsc_selected_canonical,gsc_last_crawl,gsc_first_impression,approved,reason,first_screen_evidence
/chords/b-minor,Minor,b minor chord piano,4400,UNCHECKED,YES_H1_AND_SYMBOL; notes=YES_NOTE_SPELLINGS; keyboard=YES_KEYBOARDVIEWPORT; sound=YES_PLAYBACKCONTROLS; voicing=YES_POSITION_OR_INVERSION_RADIOS,KEEP_UNLESS_MISMATCH_PROVEN,,,,,false,Piano-query volume is not US Google TOP10 proof. No 800-word or density rewrite. Title not auto-changed.,"Shared ChordDetailPage + AMinorExperience first screen: H1, note spellings, KeyboardViewport, PlaybackControls, position/voicing radios."
/chords/d-minor,Minor,d minor chord piano,4400,UNCHECKED,YES_H1_AND_SYMBOL; notes=YES_NOTE_SPELLINGS; keyboard=YES_KEYBOARDVIEWPORT; sound=YES_PLAYBACKCONTROLS; voicing=YES_POSITION_OR_INVERSION_RADIOS,KEEP_UNLESS_MISMATCH_PROVEN,,,,,false,Piano-query volume is not US Google TOP10 proof. No 800-word or density rewrite. Title not auto-changed.,"Shared ChordDetailPage + AMinorExperience first screen: H1, note spellings, KeyboardViewport, PlaybackControls, position/voicing radios."
/chords/c-maj7,Major 7,cmaj7 piano,1300,UNCHECKED,YES_H1_AND_SYMBOL; notes=YES_NOTE_SPELLINGS; keyboard=YES_KEYBOARDVIEWPORT; sound=YES_PLAYBACKCONTROLS; voicing=YES_POSITION_OR_INVERSION_RADIOS,KEEP_UNLESS_MISMATCH_PROVEN,,,,,false,Piano-query volume is not US Google TOP10 proof. No 800-word or density rewrite. Title not auto-changed.,"Shared ChordDetailPage + AMinorExperience first screen: H1, note spellings, KeyboardViewport, PlaybackControls, position/voicing radios."
/chords/c-7,Dominant 7,c7 piano,720,UNCHECKED,YES_H1_AND_SYMBOL; notes=YES_NOTE_SPELLINGS; keyboard=YES_KEYBOARDVIEWPORT; sound=YES_PLAYBACKCONTROLS; voicing=YES_POSITION_OR_INVERSION_RADIOS,KEEP_UNLESS_MISMATCH_PROVEN,,,,,false,Piano-query volume is not US Google TOP10 proof. No 800-word or density rewrite. Title not auto-changed.,"Shared ChordDetailPage + AMinorExperience first screen: H1, note spellings, KeyboardViewport, PlaybackControls, position/voicing radios."
/chords/b-7,Dominant 7,b7 piano,590,UNCHECKED,YES_H1_AND_SYMBOL; notes=YES_NOTE_SPELLINGS; keyboard=YES_KEYBOARDVIEWPORT; sound=YES_PLAYBACKCONTROLS; voicing=YES_POSITION_OR_INVERSION_RADIOS,KEEP_UNLESS_MISMATCH_PROVEN,,,,,false,Piano-query volume is not US Google TOP10 proof. No 800-word or density rewrite. Title not auto-changed.,"Shared ChordDetailPage + AMinorExperience first screen: H1, note spellings, KeyboardViewport, PlaybackControls, position/voicing radios."
/chords/c-m7,Minor 7,cm7 piano,590,UNCHECKED,YES_H1_AND_SYMBOL; notes=YES_NOTE_SPELLINGS; keyboard=YES_KEYBOARDVIEWPORT; sound=YES_PLAYBACKCONTROLS; voicing=YES_POSITION_OR_INVERSION_RADIOS,KEEP_UNLESS_MISMATCH_PROVEN,,,,,false,Piano-query volume is not US Google TOP10 proof. No 800-word or density rewrite. Title not auto-changed.,"Shared ChordDetailPage + AMinorExperience first screen: H1, note spellings, KeyboardViewport, PlaybackControls, position/voicing radios."
/chords/c-add9,Add9,cadd9 piano,590,UNCHECKED,YES_H1_AND_SYMBOL; notes=YES_NOTE_SPELLINGS; keyboard=YES_KEYBOARDVIEWPORT; sound=YES_PLAYBACKCONTROLS; voicing=YES_TWO_VOICING_EXAMPLES_NOT_ENUMERATED_INVERSIONS,KEEP_UNLESS_MISMATCH_PROVEN,,,,,false,Piano-query volume is not US Google TOP10 proof. No 800-word or density rewrite. Title not auto-changed.,"Shared ChordDetailPage + AMinorExperience first screen: H1, note spellings, KeyboardViewport, PlaybackControls, position/voicing radios."
/chords/c-diminished,Diminished,c diminished chord piano,480,UNCHECKED,YES_H1_AND_SYMBOL; notes=YES_NOTE_SPELLINGS; keyboard=YES_KEYBOARDVIEWPORT; sound=YES_PLAYBACKCONTROLS; voicing=YES_POSITION_OR_INVERSION_RADIOS,KEEP_UNLESS_MISMATCH_PROVEN,,,,,false,Piano-query volume is not US Google TOP10 proof. No 800-word or density rewrite. Title not auto-changed.,"Shared ChordDetailPage + AMinorExperience first screen: H1, note spellings, KeyboardViewport, PlaybackControls, position/voicing radios."
/chords/seventh,Seventh,7th chords piano,390,UNCHECKED,YES_FAMILY_H1_AND_GRID_CARDS; notes=YES_CARD_TONES; keyboard=YES_CARD_KEYBOARDVIEWPORT; sound=NO_PLAYBACK_ON_FAMILY_PAGE_DETAIL_HAS_PLAYBACK; voicing=FAMILY_CARDS_SHOW_ONE_VOICING_DETAIL_HAS_INVERSIONS,KEEP_UNLESS_MISMATCH_PROVEN,,,,,false,Piano-query volume is not US Google TOP10 proof. No 800-word or density rewrite. Title not auto-changed.,src/components/chords/category-page.tsx + category-experience.tsx; playback lives on ChordDetailExperience.
/chords/a-sus2,Sus2,asus2 piano,320,UNCHECKED,YES_H1_AND_SYMBOL; notes=YES_NOTE_SPELLINGS; keyboard=YES_KEYBOARDVIEWPORT; sound=YES_PLAYBACKCONTROLS; voicing=YES_POSITION_OR_INVERSION_RADIOS,KEEP_UNLESS_MISMATCH_PROVEN,,,,,false,Piano-query volume is not US Google TOP10 proof. No 800-word or density rewrite. Title not auto-changed.,"Shared ChordDetailPage + AMinorExperience first screen: H1, note spellings, KeyboardViewport, PlaybackControls, position/voicing radios."
/chords/a-sus4,Sus4,asus4 piano,260,UNCHECKED,YES_H1_AND_SYMBOL; notes=YES_NOTE_SPELLINGS; keyboard=YES_KEYBOARDVIEWPORT; sound=YES_PLAYBACKCONTROLS; voicing=YES_POSITION_OR_INVERSION_RADIOS,KEEP_UNLESS_MISMATCH_PROVEN,,,,,false,Piano-query volume is not US Google TOP10 proof. No 800-word or density rewrite. Title not auto-changed.,"Shared ChordDetailPage + AMinorExperience first screen: H1, note spellings, KeyboardViewport, PlaybackControls, position/voicing radios."
/chords/b-diminished,Diminished,bdim piano,110,UNCHECKED,YES_H1_AND_SYMBOL; notes=YES_NOTE_SPELLINGS; keyboard=YES_KEYBOARDVIEWPORT; sound=YES_PLAYBACKCONTROLS; voicing=YES_POSITION_OR_INVERSION_RADIOS,KEEP_UNLESS_MISMATCH_PROVEN,,,,,false,Piano-query volume is not US Google TOP10 proof. No 800-word or density rewrite. Title not auto-changed.,"Shared ChordDetailPage + AMinorExperience first screen: H1, note spellings, KeyboardViewport, PlaybackControls, position/voicing radios."
/chords/f-add9,Add9,fadd9 piano,110,UNCHECKED,YES_H1_AND_SYMBOL; notes=YES_NOTE_SPELLINGS; keyboard=YES_KEYBOARDVIEWPORT; sound=YES_PLAYBACKCONTROLS; voicing=YES_TWO_VOICING_EXAMPLES_NOT_ENUMERATED_INVERSIONS,KEEP_UNLESS_MISMATCH_PROVEN,,,,,false,Piano-query volume is not US Google TOP10 proof. No 800-word or density rewrite. Title not auto-changed.,"Shared ChordDetailPage + AMinorExperience first screen: H1, note spellings, KeyboardViewport, PlaybackControls, position/voicing radios."
/chords/c-augmented,Augmented,c augmented chord piano,70,UNCHECKED,YES_H1_AND_SYMBOL; notes=YES_NOTE_SPELLINGS; keyboard=YES_KEYBOARDVIEWPORT; sound=YES_PLAYBACKCONTROLS; voicing=YES_POSITION_OR_INVERSION_RADIOS,KEEP_UNLESS_MISMATCH_PROVEN,,,,,false,Piano-query volume is not US Google TOP10 proof. No 800-word or density rewrite. Title not auto-changed.,"Shared ChordDetailPage + AMinorExperience first screen: H1, note spellings, KeyboardViewport, PlaybackControls, position/voicing radios."
