url,report_time,indexed,discovered,crawled,last_crawl,robots,user_canonical,google_canonical,hostload_or_server_errors,first_impression,source_limit
/chords/b-minor,,,,,,"code: index,follow; live HTML 2026-09-18: robots=index, follow","code: canonical_path; live HTML: https://pianogrid.com/chords/b-minor",,,,No authorized GSC export. Live HTML is not a GSC index report. GeFei SEO AGENT is not a GSC reading. site: results were not used.
/chords/d-minor,,,,,,"code: index,follow (src/app/chords/[slug]/page.tsx generateMetadata)",code: editorialMetadata alternates.canonical from page metadata.canonical_path; SITE_ORIGIN https://pianogrid.com,,,,No authorized GSC export in this round. GeFei SEO AGENT is not a GSC reading. site: results were not used.
/chords/c-maj7,,,,,,"code: index,follow (src/app/chords/[slug]/page.tsx or seventh/page.tsx generateMetadata)",code: editorialMetadata alternates.canonical from page metadata.canonical_path; SITE_ORIGIN https://pianogrid.com,,,,No authorized GSC export in this round. GeFei SEO AGENT is not a GSC reading. site: results were not used.
/chords/c-7,,,,,,"code: index,follow (src/app/chords/[slug]/page.tsx or seventh/page.tsx generateMetadata)",code: editorialMetadata alternates.canonical from page metadata.canonical_path; SITE_ORIGIN https://pianogrid.com,,,,No authorized GSC export in this round. GeFei SEO AGENT is not a GSC reading. site: results were not used.
/chords/b-7,,,,,,"code: index,follow (src/app/chords/[slug]/page.tsx or seventh/page.tsx generateMetadata)",code: editorialMetadata alternates.canonical from page metadata.canonical_path; SITE_ORIGIN https://pianogrid.com,,,,No authorized GSC export in this round. GeFei SEO AGENT is not a GSC reading. site: results were not used.
/chords/c-m7,,,,,,"code: index,follow (src/app/chords/[slug]/page.tsx or seventh/page.tsx generateMetadata)",code: editorialMetadata alternates.canonical from page metadata.canonical_path; SITE_ORIGIN https://pianogrid.com,,,,No authorized GSC export in this round. GeFei SEO AGENT is not a GSC reading. site: results were not used.
/chords/c-add9,,,,,,"code: index,follow (src/app/chords/[slug]/page.tsx or seventh/page.tsx generateMetadata)",code: editorialMetadata alternates.canonical from page metadata.canonical_path; SITE_ORIGIN https://pianogrid.com,,,,No authorized GSC export in this round. GeFei SEO AGENT is not a GSC reading. site: results were not used.
/chords/c-diminished,,,,,,"code: index,follow (src/app/chords/[slug]/page.tsx or seventh/page.tsx generateMetadata)",code: editorialMetadata alternates.canonical from page metadata.canonical_path; SITE_ORIGIN https://pianogrid.com,,,,No authorized GSC export in this round. GeFei SEO AGENT is not a GSC reading. site: results were not used.
/chords/seventh,,,,,,"code: index,follow; live HTML 2026-09-18: robots=index, follow","code: canonical_path; live HTML: https://pianogrid.com/chords/seventh",,,,No authorized GSC export. Live HTML is not a GSC index report. Live Title currently omits the | PianoGrid suffix that local editorialMetadata may add. GeFei SEO AGENT is not a GSC reading.
/chords/a-sus2,,,,,,"code: index,follow (src/app/chords/[slug]/page.tsx or seventh/page.tsx generateMetadata)",code: editorialMetadata alternates.canonical from page metadata.canonical_path; SITE_ORIGIN https://pianogrid.com,,,,No authorized GSC export in this round. GeFei SEO AGENT is not a GSC reading. site: results were not used.
/chords/a-sus4,,,,,,"code: index,follow (src/app/chords/[slug]/page.tsx or seventh/page.tsx generateMetadata)",code: editorialMetadata alternates.canonical from page metadata.canonical_path; SITE_ORIGIN https://pianogrid.com,,,,No authorized GSC export in this round. GeFei SEO AGENT is not a GSC reading. site: results were not used.
/chords/b-diminished,,,,,,"code: index,follow (src/app/chords/[slug]/page.tsx or seventh/page.tsx generateMetadata)",code: editorialMetadata alternates.canonical from page metadata.canonical_path; SITE_ORIGIN https://pianogrid.com,,,,No authorized GSC export in this round. GeFei SEO AGENT is not a GSC reading. site: results were not used.
/chords/f-add9,,,,,,"code: index,follow (src/app/chords/[slug]/page.tsx or seventh/page.tsx generateMetadata)",code: editorialMetadata alternates.canonical from page metadata.canonical_path; SITE_ORIGIN https://pianogrid.com,,,,No authorized GSC export in this round. GeFei SEO AGENT is not a GSC reading. site: results were not used.
/chords/c-augmented,,,,,,"code: index,follow (src/app/chords/[slug]/page.tsx or seventh/page.tsx generateMetadata)",code: editorialMetadata alternates.canonical from page metadata.canonical_path; SITE_ORIGIN https://pianogrid.com,,,,No authorized GSC export in this round. GeFei SEO AGENT is not a GSC reading. site: results were not used.
