url,collection,in_A,in_B,in_C,in_D,in_E,in_F,in_138_csv,original_plan_keyword_rows
/chords,D_hub,true,false,false,true,false,false,false,59
/chords/major,B_family,true,true,false,false,false,false,false,0
/chords/minor,B_family,true,true,false,false,false,false,false,0
/chords/diminished,B_family,true,true,false,false,false,false,false,0
/chords/augmented,B_family,true,true,false,false,false,false,false,0
/chords/suspended,B_family,true,true,false,false,false,false,false,0
/chords/seventh,B_family,true,true,false,false,false,false,true,0
/chords/add,B_family,true,true,false,false,false,false,false,0
/chords/extended,B_family,true,true,false,false,false,false,false,0
/chords/altered,B_family,true,true,false,false,false,false,false,0
/chords/c-add9,C_detail,true,false,true,false,false,true,true,0
/chords/d-flat-add9,C_detail,true,false,true,false,false,true,true,0
/chords/d-add9,C_detail,true,false,true,false,false,true,true,0
/chords/e-flat-add9,C_detail,true,false,true,false,false,true,true,0
/chords/e-add9,C_detail,true,false,true,false,false,true,true,0
/chords/f-add9,C_detail,true,false,true,false,false,true,true,0
/chords/f-sharp-add9,C_detail,true,false,true,false,false,true,true,0
/chords/g-add9,C_detail,true,false,true,false,false,true,true,0
/chords/a-flat-add9,C_detail,true,false,true,false,false,true,true,0
/chords/a-add9,C_detail,true,false,true,false,false,true,true,0
/chords/b-flat-add9,C_detail,true,false,true,false,false,true,true,0
/chords/b-add9,C_detail,true,false,true,false,false,true,true,0
/chords/c-madd9,C_detail,true,false,true,false,false,true,true,0
/chords/d-flat-madd9,C_detail,true,false,true,false,false,true,true,0
/chords/d-madd9,C_detail,true,false,true,false,false,true,true,0
/chords/e-flat-madd9,C_detail,true,false,true,false,false,true,true,0
/chords/e-madd9,C_detail,true,false,true,false,false,true,true,0
/chords/f-madd9,C_detail,true,false,true,false,false,true,true,0
/chords/f-sharp-madd9,C_detail,true,false,true,false,false,true,true,0
/chords/g-madd9,C_detail,true,false,true,false,false,true,true,0
/chords/a-flat-madd9,C_detail,true,false,true,false,false,true,true,0
/chords/a-madd9,C_detail,true,false,true,false,false,true,true,0
/chords/b-flat-madd9,C_detail,true,false,true,false,false,true,true,0
/chords/b-madd9,C_detail,true,false,true,false,false,true,true,0
/chords/a-7,C_detail,true,false,true,false,false,true,true,0
/chords/a-flat-7,C_detail,true,false,true,false,false,true,true,0
/chords/a-flat-m7,C_detail,true,false,true,false,false,true,true,0
/chords/a-flat-m7-flat5,C_detail,true,false,true,false,false,true,true,0
/chords/a-flat-maj7,C_detail,true,false,true,false,false,true,true,0
/chords/a-m7,C_detail,true,false,true,false,false,true,true,0
/chords/a-m7-flat5,C_detail,true,false,true,false,false,true,true,0
/chords/a-maj7,C_detail,true,false,true,false,false,true,true,0
/chords/b-7,C_detail,true,false,true,false,false,true,true,0
/chords/b-flat-7,C_detail,true,false,true,false,false,true,true,0
/chords/b-flat-m7,C_detail,true,false,true,false,false,true,true,0
/chords/b-flat-m7-flat5,C_detail,true,false,true,false,false,true,true,0
/chords/b-flat-maj7,C_detail,true,false,true,false,false,true,true,0
/chords/b-m7,C_detail,true,false,true,false,false,true,true,0
/chords/b-m7-flat5,C_detail,true,false,true,false,false,true,true,0
/chords/b-maj7,C_detail,true,false,true,false,false,true,true,0
/chords/c-7,C_detail,true,false,true,false,false,true,true,0
/chords/c-m7,C_detail,true,false,true,false,false,true,true,0
/chords/c-m7-flat5,C_detail,true,false,true,false,false,true,true,0
/chords/c-maj7,C_detail,true,false,true,false,false,true,true,0
/chords/d-7,C_detail,true,false,true,false,false,true,true,0
/chords/d-flat-7,C_detail,true,false,true,false,false,true,true,0
/chords/d-flat-m7,C_detail,true,false,true,false,false,true,true,0
/chords/d-flat-m7-flat5,C_detail,true,false,true,false,false,true,true,0
/chords/d-flat-maj7,C_detail,true,false,true,false,false,true,true,0
/chords/d-m7,C_detail,true,false,true,false,false,true,true,0
/chords/d-m7-flat5,C_detail,true,false,true,false,false,true,true,0
/chords/d-maj7,C_detail,true,false,true,false,false,true,true,0
/chords/e-7,C_detail,true,false,true,false,false,true,true,0
/chords/e-flat-7,C_detail,true,false,true,false,false,true,true,0
/chords/e-flat-m7,C_detail,true,false,true,false,false,true,true,0
/chords/e-flat-m7-flat5,C_detail,true,false,true,false,false,true,true,0
/chords/e-flat-maj7,C_detail,true,false,true,false,false,true,true,0
