url,page_type,batch,origin_commit,origin_date,source_file,original_keyword_mapping,keyword_volume_at_introduction,reason_evidence,confidence
/chord-progressions,structure,STRUCTURE,c9098d857926aef220ec08faec3dd9900655918c,2026-09-11T23:26:48+08:00,src/lib/site-routes.ts,piano chord progressions,1600,"First Git definition from src/lib/site-routes.ts at c9098d857926aef220ec08faec3dd9900655918c. origin_date is the commit author date (implementation/submit), not a production publish date. Historical docs that say Published can coexist with undeployed status; sitemap lastmod and file mtime were not used. Commit subject: feat: publish complete chord reference system",MEDIUM
/chords,hub,ORIGINAL_MAPPED_OR_HUB,f5367c6a087a042d0f82a981317c0182c63c6544,2026-09-10T19:27:03+08:00,src/lib/site-routes.ts,piano chord chart,6600,"First Git definition from src/lib/site-routes.ts at f5367c6a087a042d0f82a981317c0182c63c6544. origin_date is the commit author date (implementation/submit), not a production publish date. Historical docs that say Published can coexist with undeployed status; sitemap lastmod and file mtime were not used. Commit subject: feat: publish initial PianoGrid routes",MEDIUM
/chords/a-7,detail,N2C,49e003e11571a4dd29e428236d3cd13da0f6ed70,2026-09-13T08:03:25+08:00,docs/pianogrid-chords-n2c/03_details,none in original URL-plan keyword file,null,"First Git definition from docs/pianogrid-chords-n2c/03_details at 49e003e11571a4dd29e428236d3cd13da0f6ed70. origin_date is the commit author date (implementation/submit), not a production publish date. Historical docs that say Published can coexist with undeployed status; sitemap lastmod and file mtime were not used. Commit subject: feat: publish seventh and add chord families N2C pack schema sets seo.keywordVolume to null for 1 family + 48 detail URLs (four seventh types × 12 roots).",HIGH
/chords/a-add9,detail,N2D,49e003e11571a4dd29e428236d3cd13da0f6ed70,2026-09-13T08:03:25+08:00,docs/pianogrid-chords-n2d-v2/03_content/details,none in original URL-plan keyword file,null,"First Git definition from docs/pianogrid-chords-n2d-v2/03_content/details at 49e003e11571a4dd29e428236d3cd13da0f6ed70. origin_date is the commit author date (implementation/submit), not a production publish date. Historical docs that say Published can coexist with undeployed status; sitemap lastmod and file mtime were not used. Commit subject: feat: publish seventh and add chord families N2D batch name exists in docs/pianogrid-chords-n2d-v2 (schema N2D-2.0). First Git commit of that directory is the Add9/MinorAdd9 introduction; it is the same commit that also added N2C files.",HIGH
/chords/a-augmented,detail,N2B,b91d176ef9209d1bbc886660187daeb4ba7e49c5,2026-09-12T08:34:09+08:00,docs/pianogrid-chords-n2b/03_details,none in original URL-plan keyword file,null,"First Git definition from docs/pianogrid-chords-n2b/03_details at b91d176ef9209d1bbc886660187daeb4ba7e49c5. origin_date is the commit author date (implementation/submit), not a production publish date. Historical docs that say Published can coexist with undeployed status; sitemap lastmod and file mtime were not used. Commit subject: feat: expand chord families through N2B N2B pack schema sets seo.keywordVolume to null for 3 family + 48 detail URLs (12 dim / 12 aug / 12 sus2 / 12 sus4).",HIGH
/chords/a-diminished,detail,N2B,b91d176ef9209d1bbc886660187daeb4ba7e49c5,2026-09-12T08:34:09+08:00,docs/pianogrid-chords-n2b/03_details,none in original URL-plan keyword file,null,"First Git definition from docs/pianogrid-chords-n2b/03_details at b91d176ef9209d1bbc886660187daeb4ba7e49c5. origin_date is the commit author date (implementation/submit), not a production publish date. Historical docs that say Published can coexist with undeployed status; sitemap lastmod and file mtime were not used. Commit subject: feat: expand chord families through N2B N2B pack schema sets seo.keywordVolume to null for 3 family + 48 detail URLs (12 dim / 12 aug / 12 sus2 / 12 sus4).",HIGH
/chords/a-flat-7,detail,N2C,49e003e11571a4dd29e428236d3cd13da0f6ed70,2026-09-13T08:03:25+08:00,docs/pianogrid-chords-n2c/03_details,none in original URL-plan keyword file,null,"First Git definition from docs/pianogrid-chords-n2c/03_details at 49e003e11571a4dd29e428236d3cd13da0f6ed70. origin_date is the commit author date (implementation/submit), not a production publish date. Historical docs that say Published can coexist with undeployed status; sitemap lastmod and file mtime were not used. Commit subject: feat: publish seventh and add chord families N2C pack schema sets seo.keywordVolume to null for 1 family + 48 detail URLs (four seventh types × 12 roots).",HIGH
/chords/a-flat-add9,detail,N2D,49e003e11571a4dd29e428236d3cd13da0f6ed70,2026-09-13T08:03:25+08:00,docs/pianogrid-chords-n2d-v2/03_content/details,none in original URL-plan keyword file,null,"First Git definition from docs/pianogrid-chords-n2d-v2/03_content/details at 49e003e11571a4dd29e428236d3cd13da0f6ed70. origin_date is the commit author date (implementation/submit), not a production publish date. Historical docs that say Published can coexist with undeployed status; sitemap lastmod and file mtime were not used. Commit subject: feat: publish seventh and add chord families N2D batch name exists in docs/pianogrid-chords-n2d-v2 (schema N2D-2.0). First Git commit of that directory is the Add9/MinorAdd9 introduction; it is the same commit that also added N2C files.",HIGH
/chords/a-flat-augmented,detail,N2B,b91d176ef9209d1bbc886660187daeb4ba7e49c5,2026-09-12T08:34:09+08:00,docs/pianogrid-chords-n2b/03_details,none in original URL-plan keyword file,null,"First Git definition from docs/pianogrid-chords-n2b/03_details at b91d176ef9209d1bbc886660187daeb4ba7e49c5. origin_date is the commit author date (implementation/submit), not a production publish date. Historical docs that say Published can coexist with undeployed status; sitemap lastmod and file mtime were not used. Commit subject: feat: expand chord families through N2B N2B pack schema sets seo.keywordVolume to null for 3 family + 48 detail URLs (12 dim / 12 aug / 12 sus2 / 12 sus4).",HIGH
/chords/a-flat-diminished,detail,N2B,b91d176ef9209d1bbc886660187daeb4ba7e49c5,2026-09-12T08:34:09+08:00,docs/pianogrid-chords-n2b/03_details,none in original URL-plan keyword file,null,"First Git definition from docs/pianogrid-chords-n2b/03_details at b91d176ef9209d1bbc886660187daeb4ba7e49c5. origin_date is the commit author date (implementation/submit), not a production publish date. Historical docs that say Published can coexist with undeployed status; sitemap lastmod and file mtime were not used. Commit subject: feat: expand chord families through N2B N2B pack schema sets seo.keywordVolume to null for 3 family + 48 detail URLs (12 dim / 12 aug / 12 sus2 / 12 sus4).",HIGH
