url,lastmod,source_sitemap,page_type,root_spelling,pitch_class,inferred_topics,evidence
https://www.pianochord.org/,,https://www.pianochord.org/sitemap.xml,Structure,,,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/chord-converter.html,,https://www.pianochord.org/sitemap.xml,Unclassified,C,0,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/roman-numerals-chord-converter.html,,https://www.pianochord.org/sitemap.xml,Unclassified,,,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/keyboard-notes.html,,https://www.pianochord.org/sitemap.xml,Unclassified,,,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/notation.html,,https://www.pianochord.org/sitemap.xml,Unclassified,,,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/info.html,,https://www.pianochord.org/sitemap.xml,Unclassified,,,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/overviews.html,,https://www.pianochord.org/sitemap.xml,Unclassified,,,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/learn.html,,https://www.pianochord.org/sitemap.xml,Unclassified,,,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/inversions.html,,https://www.pianochord.org/sitemap.xml,Unclassified,,,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/chord-inversions-finder.html,,https://www.pianochord.org/sitemap.xml,Unclassified,C,0,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/fingerings-movements.html,,https://www.pianochord.org/sitemap.xml,Unclassified,F,5,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/chord-types.html,,https://www.pianochord.org/sitemap.xml,Unclassified,C,0,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/chord-symbols.html,,https://www.pianochord.org/sitemap.xml,Unclassified,C,0,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/chord-steps.html,,https://www.pianochord.org/sitemap.xml,Unclassified,C,0,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/how-to-combine-piano-chords.html,,https://www.pianochord.org/sitemap.xml,Unclassified,,,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/progressions.html,,https://www.pianochord.org/sitemap.xml,Unclassified,,,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/progressions-jazz.html,,https://www.pianochord.org/sitemap.xml,Unclassified,,,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/broken-chords.html,,https://www.pianochord.org/sitemap.xml,Unclassified,B,11,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/chord-exercises.html,,https://www.pianochord.org/sitemap.xml,Unclassified,C,0,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/voicings.html,,https://www.pianochord.org/sitemap.xml,Unclassified,,,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/substitutions.html,,https://www.pianochord.org/sitemap.xml,Unclassified,,,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/two-hands.html,,https://www.pianochord.org/sitemap.xml,Unclassified,,,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/major.html,,https://www.pianochord.org/sitemap.xml,Family,,,Major,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/minor.html,,https://www.pianochord.org/sitemap.xml,Family,,,Minor,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/extended.html,,https://www.pianochord.org/sitemap.xml,Family,,,Extended,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/seventh.html,,https://www.pianochord.org/sitemap.xml,Family,,,Seventh,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/sus.html,,https://www.pianochord.org/sitemap.xml,Family,,,Suspended,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/dim.html,,https://www.pianochord.org/sitemap.xml,Family,,,Diminished,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/aug.html,,https://www.pianochord.org/sitemap.xml,Family,,,Augmented,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/altered.html,,https://www.pianochord.org/sitemap.xml,Family,,,Altered,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/add.html,,https://www.pianochord.org/sitemap.xml,Family,,,Add,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/misc.html,,https://www.pianochord.org/sitemap.xml,Unclassified,,,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/chord-recognition-ear.html,,https://www.pianochord.org/sitemap.xml,Unclassified,C,0,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/chord-recognition-visual.html,,https://www.pianochord.org/sitemap.xml,Unclassified,C,0,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a.html,,https://www.pianochord.org/sitemap.xml,Root hub,A,9,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a-filter.html,,https://www.pianochord.org/sitemap.xml,Root collection,A,9,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a-major.html,,https://www.pianochord.org/sitemap.xml,Detail candidate,A,9,Major,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a-alternative-bass.html,,https://www.pianochord.org/sitemap.xml,Unclassified,A,9,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/am.html,,https://www.pianochord.org/sitemap.xml,Detail candidate,A,9,Minor,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/am-alternative-bass.html,,https://www.pianochord.org/sitemap.xml,Unclassified,A,9,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a6-flat.html,,https://www.pianochord.org/sitemap.xml,Detail candidate,Ab,8,Major 6,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a6-sharp.html,,https://www.pianochord.org/sitemap.xml,Detail candidate,A#,10,Major 6,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a6.html,,https://www.pianochord.org/sitemap.xml,Detail candidate,A,9,Major 6,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a-flat-6-9.html,,https://www.pianochord.org/sitemap.xml,Detail candidate,Ab,8,6/9,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a-sharp-6-9.html,,https://www.pianochord.org/sitemap.xml,Detail candidate,A#,10,6/9,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a6-9.html,,https://www.pianochord.org/sitemap.xml,Detail candidate,A,9,6/9,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a7.html,,https://www.pianochord.org/sitemap.xml,Detail candidate,A,9,Dominant 7,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a7-alternative-bass.html,,https://www.pianochord.org/sitemap.xml,Unclassified,A,9,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a-extended.html,,https://www.pianochord.org/sitemap.xml,Detail candidate,A,9,Dominant 9,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a9-sus.html,,https://www.pianochord.org/sitemap.xml,Unclassified,A,9,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a11.html,,https://www.pianochord.org/sitemap.xml,Detail candidate,A,9,Dominant 11,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a13.html,,https://www.pianochord.org/sitemap.xml,Detail candidate,A,9,Dominant 13,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a5.html,,https://www.pianochord.org/sitemap.xml,Detail candidate,A,9,Power chord,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a-altered.html,,https://www.pianochord.org/sitemap.xml,Unclassified,A,9,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a7-5.html,,https://www.pianochord.org/sitemap.xml,Detail candidate,A,9,Altered candidate,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a7minus9.html,,https://www.pianochord.org/sitemap.xml,Unclassified,A,9,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a7plus9.html,,https://www.pianochord.org/sitemap.xml,Unclassified,A,9,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a7plus11.html,,https://www.pianochord.org/sitemap.xml,Unclassified,A,9,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a13plus11.html,,https://www.pianochord.org/sitemap.xml,Unclassified,A,9,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a13minus9.html,,https://www.pianochord.org/sitemap.xml,Unclassified,A,9,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a-flat-altered.html,,https://www.pianochord.org/sitemap.xml,Unclassified,Ab,8,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a-flat-7-5.html,,https://www.pianochord.org/sitemap.xml,Detail candidate,Ab,8,Altered candidate,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a-flat-7minus9.html,,https://www.pianochord.org/sitemap.xml,Unclassified,Ab,8,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a-flat-7plus9.html,,https://www.pianochord.org/sitemap.xml,Unclassified,Ab,8,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a-flat-7plus11.html,,https://www.pianochord.org/sitemap.xml,Unclassified,Ab,8,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a-flat-13plus11.html,,https://www.pianochord.org/sitemap.xml,Unclassified,Ab,8,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a-flat-13minus9.html,,https://www.pianochord.org/sitemap.xml,Unclassified,Ab,8,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a-sharp-altered.html,,https://www.pianochord.org/sitemap.xml,Unclassified,A#,10,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a-sharp-7-5.html,,https://www.pianochord.org/sitemap.xml,Detail candidate,A#,10,Altered candidate,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a-sharp-7minus9.html,,https://www.pianochord.org/sitemap.xml,Unclassified,A#,10,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a-sharp-7plus9.html,,https://www.pianochord.org/sitemap.xml,Unclassified,A#,10,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a-sharp-7plus11.html,,https://www.pianochord.org/sitemap.xml,Unclassified,A#,10,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a-sharp-13plus11.html,,https://www.pianochord.org/sitemap.xml,Unclassified,A#,10,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a-sharp-13minus9.html,,https://www.pianochord.org/sitemap.xml,Unclassified,A#,10,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a-sus.html,,https://www.pianochord.org/sitemap.xml,Detail candidate,A,9,Sus2;Sus4,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a7-sus.html,,https://www.pianochord.org/sitemap.xml,Unclassified,A,9,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a-dim.html,,https://www.pianochord.org/sitemap.xml,Detail candidate,A,9,Diminished,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a-dim7.html,,https://www.pianochord.org/sitemap.xml,Detail candidate,A,9,Diminished 7,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a-aug.html,,https://www.pianochord.org/sitemap.xml,Detail candidate,A,9,Augmented,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a-aug7.html,,https://www.pianochord.org/sitemap.xml,Detail candidate,A,9,Augmented 7,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a-add.html,,https://www.pianochord.org/sitemap.xml,Detail candidate,A,9,Add9,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
https://www.pianochord.org/a-add11.html,,https://www.pianochord.org/sitemap.xml,Unclassified,A,9,,XML_MEMBER_URL_PATTERN_NOT_CONTENT_VERIFIED
