url,page_type,family,strict_spelling_topic_urls,enharmonic_candidate_urls,match_state,action
/chords/a-7,Detail,Dominant 7,https://www.pianochord.org/a7.html,,PATTERN_MATCH_REVIEW_CONTENT,NO_AUTOMATIC_URL_OR_INDEX_CHANGE
/chords/a-add9,Detail,Add9,https://www.pianochord.org/a-add.html,,PATTERN_MATCH_REVIEW_CONTENT,NO_AUTOMATIC_URL_OR_INDEX_CHANGE
/chords/a-augmented,Detail,Augmented,https://www.pianochord.org/a-aug.html,,PATTERN_MATCH_REVIEW_CONTENT,NO_AUTOMATIC_URL_OR_INDEX_CHANGE
/chords/a-diminished,Detail,Diminished,https://www.pianochord.org/a-dim.html,,PATTERN_MATCH_REVIEW_CONTENT,NO_AUTOMATIC_URL_OR_INDEX_CHANGE
/chords/a-flat-7,Detail,Dominant 7,https://www.pianochord.org/a7-flat.html,https://www.pianochord.org/g7-sharp.html,PATTERN_MATCH_REVIEW_CONTENT,NO_AUTOMATIC_URL_OR_INDEX_CHANGE
/chords/a-flat-add9,Detail,Add9,https://www.pianochord.org/a-flat-add.html,https://www.pianochord.org/g-sharp-add.html,PATTERN_MATCH_REVIEW_CONTENT,NO_AUTOMATIC_URL_OR_INDEX_CHANGE
/chords/a-flat-augmented,Detail,Augmented,https://www.pianochord.org/a-flat-aug.html,https://www.pianochord.org/g-sharp-aug.html,PATTERN_MATCH_REVIEW_CONTENT,NO_AUTOMATIC_URL_OR_INDEX_CHANGE
/chords/a-flat-diminished,Detail,Diminished,https://www.pianochord.org/a-flat-dim.html,https://www.pianochord.org/g-sharp-dim.html,PATTERN_MATCH_REVIEW_CONTENT,NO_AUTOMATIC_URL_OR_INDEX_CHANGE
/chords/a-flat-m7,Detail,Minor 7,https://www.pianochord.org/am7-flat.html,https://www.pianochord.org/gm7-sharp.html,PATTERN_MATCH_REVIEW_CONTENT,NO_AUTOMATIC_URL_OR_INDEX_CHANGE
/chords/a-flat-m7-flat5,Detail,Half-diminished 7,https://www.pianochord.org/a-flat-m7b5.html,https://www.pianochord.org/g-sharp-m7b5.html,PATTERN_MATCH_REVIEW_CONTENT,NO_AUTOMATIC_URL_OR_INDEX_CHANGE
/chords/a-flat-madd9,Detail,Minor Add9,https://www.pianochord.org/am-flat-add.html,https://www.pianochord.org/gm-sharp-add.html,PATTERN_MATCH_REVIEW_CONTENT,NO_AUTOMATIC_URL_OR_INDEX_CHANGE
/chords/a-flat-maj7,Detail,Major 7,https://www.pianochord.org/amaj7-flat.html,https://www.pianochord.org/gmaj7-sharp.html,PATTERN_MATCH_REVIEW_CONTENT,NO_AUTOMATIC_URL_OR_INDEX_CHANGE
/chords/a-flat-major,Detail,Major,https://www.pianochord.org/a-flat-major.html,https://www.pianochord.org/g-sharp-major.html,PATTERN_MATCH_REVIEW_CONTENT,NO_AUTOMATIC_URL_OR_INDEX_CHANGE
/chords/a-flat-sus2,Detail,Sus2,https://www.pianochord.org/a-flat-sus.html,https://www.pianochord.org/g-sharp-sus.html,PATTERN_MATCH_REVIEW_CONTENT,NO_AUTOMATIC_URL_OR_INDEX_CHANGE
/chords/a-flat-sus4,Detail,Sus4,https://www.pianochord.org/a-flat-sus.html,https://www.pianochord.org/g-sharp-sus.html,PATTERN_MATCH_REVIEW_CONTENT,NO_AUTOMATIC_URL_OR_INDEX_CHANGE
/chords/a-m7,Detail,Minor 7,https://www.pianochord.org/am7.html,,PATTERN_MATCH_REVIEW_CONTENT,NO_AUTOMATIC_URL_OR_INDEX_CHANGE
/chords/a-m7-flat5,Detail,Half-diminished 7,https://www.pianochord.org/am7b5.html,,PATTERN_MATCH_REVIEW_CONTENT,NO_AUTOMATIC_URL_OR_INDEX_CHANGE
/chords/a-madd9,Detail,Minor Add9,https://www.pianochord.org/am-add.html,,PATTERN_MATCH_REVIEW_CONTENT,NO_AUTOMATIC_URL_OR_INDEX_CHANGE
/chords/a-maj7,Detail,Major 7,https://www.pianochord.org/amaj7.html,,PATTERN_MATCH_REVIEW_CONTENT,NO_AUTOMATIC_URL_OR_INDEX_CHANGE
/chords/a-major,Detail,Major,https://www.pianochord.org/a-major.html,,PATTERN_MATCH_REVIEW_CONTENT,NO_AUTOMATIC_URL_OR_INDEX_CHANGE
/chords/a-minor,Detail,Minor,https://www.pianochord.org/am.html,,PATTERN_MATCH_REVIEW_CONTENT,NO_AUTOMATIC_URL_OR_INDEX_CHANGE
/chords/a-sus2,Detail,Sus2,https://www.pianochord.org/a-sus.html,,PATTERN_MATCH_REVIEW_CONTENT,NO_AUTOMATIC_URL_OR_INDEX_CHANGE
/chords/a-sus4,Detail,Sus4,https://www.pianochord.org/a-sus.html,,PATTERN_MATCH_REVIEW_CONTENT,NO_AUTOMATIC_URL_OR_INDEX_CHANGE
/chords/b-7,Detail,Dominant 7,https://www.pianochord.org/b7.html,,PATTERN_MATCH_REVIEW_CONTENT,NO_AUTOMATIC_URL_OR_INDEX_CHANGE
/chords/b-add9,Detail,Add9,https://www.pianochord.org/b-add.html,,PATTERN_MATCH_REVIEW_CONTENT,NO_AUTOMATIC_URL_OR_INDEX_CHANGE
/chords/b-augmented,Detail,Augmented,https://www.pianochord.org/b-aug.html,,PATTERN_MATCH_REVIEW_CONTENT,NO_AUTOMATIC_URL_OR_INDEX_CHANGE
/chords/b-diminished,Detail,Diminished,https://www.pianochord.org/b-dim.html,,PATTERN_MATCH_REVIEW_CONTENT,NO_AUTOMATIC_URL_OR_INDEX_CHANGE
/chords/b-flat-7,Detail,Dominant 7,https://www.pianochord.org/b7-flat.html,https://www.pianochord.org/a7-sharp.html,PATTERN_MATCH_REVIEW_CONTENT,NO_AUTOMATIC_URL_OR_INDEX_CHANGE
