site_volume_rank,volume_us,path,url,group,page_kind,primary_keyword,volume_status,in_sitemap,bing_submitted,bing_submitted_date,notes
1,33100,/keyboard-notes,https://pianogrid.com/keyboard-notes,keyboard-notes,hub,piano keys,url_plan_2026-09-08,yes,yes,2026-09-23,
2,18100,/chords/b-minor,https://pianogrid.com/chords/b-minor,chords,detail,b minor chord,semrush_2026-09-17,yes,no,,
3,18100,/guide/read-sheet-music,https://pianogrid.com/guide/read-sheet-music,guide,category,how to read sheet music piano,url_plan_2026-09-08,yes,no,,
4,18100,/songs/easy,https://pianogrid.com/songs/easy,songs,category,easy piano songs,url_plan_2026-09-08,yes,no,,
5,14800,/songs,https://pianogrid.com/songs,songs,hub,piano songs,url_plan_2026-09-08,yes,yes,2026-09-23,
6,12100,/chords/d-minor,https://pianogrid.com/chords/d-minor,chords,detail,d minor chord,semrush_2026-09-17,yes,no,,
7,12100,/chords/e-minor,https://pianogrid.com/chords/e-minor,chords,detail,e minor chord,semrush_2026-09-17,yes,no,,
8,12100,/chords/g-minor,https://pianogrid.com/chords/g-minor,chords,detail,g minor chord,semrush_2026-09-17,yes,no,,
9,12100,/keyboard-notes/labeled,https://pianogrid.com/keyboard-notes/labeled,keyboard-notes,tool,keys on a piano keyboard labeled,url_plan_2026-09-08,yes,no,,
10,9900,/chords/b-7,https://pianogrid.com/chords/b-7,chords,detail,b7 chord,semrush_2026-09-17,yes,no,,
11,8100,/chords/a-7,https://pianogrid.com/chords/a-7,chords,detail,a7 chord,semrush_2026-09-17,yes,no,,
12,8100,/chords/g-7,https://pianogrid.com/chords/g-7,chords,detail,g7 chord,semrush_2026-09-17,yes,no,,
13,8100,/sheet-music/easy,https://pianogrid.com/sheet-music/easy,sheet-music,category,easy piano sheet music,url_plan_2026-09-08,yes,no,,
14,6600,/chords,https://pianogrid.com/chords,chords,hub,piano chord chart,url_plan_2026-09-08,yes,yes,2026-09-23,
15,6600,/chords/d-7,https://pianogrid.com/chords/d-7,chords,detail,d7 chord,semrush_2026-09-17,yes,no,,
16,6600,/chords/e-7,https://pianogrid.com/chords/e-7,chords,detail,e7 chord,semrush_2026-09-17,yes,no,,
17,6600,/chords/f-minor,https://pianogrid.com/chords/f-minor,chords,detail,f minor chord,semrush_2026-09-17,yes,no,,
18,6600,/scales,https://pianogrid.com/scales,scales,hub,piano scales,url_plan_2026-09-08,yes,yes,2026-09-23,
19,6600,/sheet-music/beginner,https://pianogrid.com/sheet-music/beginner,sheet-music,category,beginner piano sheet music,url_plan_2026-09-08,yes,no,,
20,5400,/chords/c-7,https://pianogrid.com/chords/c-7,chords,detail,c7 chord,semrush_2026-09-17,yes,no,,
21,5400,/chords/g-major,https://pianogrid.com/chords/g-major,chords,detail,g major chord,semrush_2026-09-17,yes,no,,
22,4400,/chords/a-major,https://pianogrid.com/chords/a-major,chords,detail,a chord piano,url_plan_2026-09-08,yes,no,,
23,4400,/chords/d-major,https://pianogrid.com/chords/d-major,chords,detail,d major chord,semrush_2026-09-17,yes,no,,
24,4400,/chords/f-major,https://pianogrid.com/chords/f-major,chords,detail,f major chord,semrush_2026-09-17,yes,no,,
25,4400,/keyboard-notes/chart,https://pianogrid.com/keyboard-notes/chart,keyboard-notes,tool,piano notes chart,url_plan_2026-09-08,yes,yes,2026-09-23,
26,3600,/chords/a-m7,https://pianogrid.com/chords/a-m7,chords,detail,am7 chord,semrush_2026-09-17,yes,no,,
27,3600,/chords/b-major,https://pianogrid.com/chords/b-major,chords,detail,b chord piano,url_plan_2026-09-08,yes,no,,
28,3600,/chords/d-m7,https://pianogrid.com/chords/d-m7,chords,detail,dm7 chord,semrush_2026-09-17,yes,no,,
29,3600,/chords/e-m7,https://pianogrid.com/chords/e-m7,chords,detail,em7 chord,semrush_2026-09-17,yes,no,,
30,3600,/chords/f-sharp-minor,https://pianogrid.com/chords/f-sharp-minor,chords,detail,f sharp minor chord,semrush_2026-09-17,yes,no,,
31,2900,/chords/c-maj7,https://pianogrid.com/chords/c-maj7,chords,detail,cmaj7 chord,semrush_2026-09-17,yes,no,,
32,2900,/sheet-music,https://pianogrid.com/sheet-music,sheet-music,hub,piano music sheet,url_plan_2026-09-08,yes,yes,2026-09-23,
33,2400,/chords/b-m7,https://pianogrid.com/chords/b-m7,chords,detail,bm7 chord,semrush_2026-09-17,yes,no,,
34,2400,/chords/f-7,https://pianogrid.com/chords/f-7,chords,detail,f7 chord,semrush_2026-09-17,yes,no,,
35,1900,/chords/a-minor,https://pianogrid.com/chords/a-minor,chords,detail,am piano chord,url_plan_2026-09-08,yes,yes,2026-09-23,
36,1900,/chords/b-flat-major,https://pianogrid.com/chords/b-flat-major,chords,detail,b flat major chord,semrush_2026-09-17,yes,no,,
37,1900,/chords/by-key,https://pianogrid.com/chords/by-key,chords,tool,chords of key,url_plan_2026-09-08,yes,no,,
38,1900,/chords/e-flat-major,https://pianogrid.com/chords/e-flat-major,chords,detail,e flat major chord,semrush_2026-09-17,yes,no,,
39,1900,/chords/seventh,https://pianogrid.com/chords/seventh,chords,category,7th chords,semrush_2026-09-17,yes,no,,
40,1900,/guide/piano-chords,https://pianogrid.com/guide/piano-chords,guide,category,how to play chords on piano,url_plan_2026-09-08,yes,no,,
41,1600,/chord-progressions,https://pianogrid.com/chord-progressions,chord-progressions,hub,piano chord progressions,url_plan_2026-09-08,yes,yes,2026-09-23,
42,1600,/chords/c-diminished,https://pianogrid.com/chords/c-diminished,chords,detail,c diminished chord,semrush_2026-09-17,yes,no,,
43,1600,/chords/c-sharp-minor,https://pianogrid.com/chords/c-sharp-minor,chords,detail,c sharp minor chord,semrush_2026-09-17,yes,no,,
44,1600,/scales/modes,https://pianogrid.com/scales/modes,scales,detail,scale modes,url_plan_2026-09-08,yes,no,,
45,1300,/chords/e-diminished,https://pianogrid.com/chords/e-diminished,chords,detail,e diminished chord,semrush_2026-09-17,yes,no,,
46,1300,/chords/finder,https://pianogrid.com/chords/finder,chords,tool,chord finder piano,url_plan_2026-09-08,yes,no,,
47,1300,/chords/g-m7,https://pianogrid.com/chords/g-m7,chords,detail,gm7 chord,semrush_2026-09-17,yes,no,,
48,1300,/guide,https://pianogrid.com/guide,guide,hub,how to play piano for beginners,url_plan_2026-09-08,yes,yes,2026-09-23,
49,1300,/keyboard-notes/finger-numbers,https://pianogrid.com/keyboard-notes/finger-numbers,keyboard-notes,tool,piano fingering chart,url_plan_2026-09-08,yes,no,,
50,1300,/keyboard-notes/frequencies,https://pianogrid.com/keyboard-notes/frequencies,keyboard-notes,tool,note frequency chart,url_plan_2026-09-08,yes,no,,
51,1300,/scales/c-major,https://pianogrid.com/scales/c-major,scales,detail,c major scale piano,url_plan_2026-09-08,yes,yes,2026-09-23,
52,1000,/chords/a-flat-major,https://pianogrid.com/chords/a-flat-major,chords,detail,a flat chord piano,url_plan_2026-09-08,yes,no,,
53,1000,/chords/b-flat-minor,https://pianogrid.com/chords/b-flat-minor,chords,detail,b flat minor chord,semrush_2026-09-17,yes,no,,
54,1000,/chords/c-m7,https://pianogrid.com/chords/c-m7,chords,detail,cm7 chord,semrush_2026-09-17,yes,no,,
55,1000,/chords/f-maj7,https://pianogrid.com/chords/f-maj7,chords,detail,fmaj7 chord,semrush_2026-09-17,yes,no,,
56,1000,/chords/g-maj7,https://pianogrid.com/chords/g-maj7,chords,detail,gmaj7 chord,semrush_2026-09-17,yes,no,,
57,1000,/scales/a-minor,https://pianogrid.com/scales/a-minor,scales,detail,a minor scale piano,url_plan_2026-09-08,yes,yes,2026-09-23,
58,1000,/scales/blues,https://pianogrid.com/scales/blues,scales,detail,blues scale piano,url_plan_2026-09-08,yes,no,,
59,1000,/scales/d-major,https://pianogrid.com/scales/d-major,scales,detail,d major scale piano,url_plan_2026-09-08,yes,no,,
60,1000,/scales/e-minor,https://pianogrid.com/scales/e-minor,scales,detail,e minor scale piano,url_plan_2026-09-08,yes,no,,
61,1000,/scales/f-major,https://pianogrid.com/scales/f-major,scales,detail,f major scale for piano,url_plan_2026-09-08,yes,no,,
62,1000,/scales/g-major,https://pianogrid.com/scales/g-major,scales,detail,g major scale piano,url_plan_2026-09-08,yes,no,,
63,1000,/scales/pentatonic,https://pianogrid.com/scales/pentatonic,scales,detail,pentatonic scale piano,url_plan_2026-09-08,yes,no,,
64,880,/chords/a-diminished,https://pianogrid.com/chords/a-diminished,chords,detail,a diminished chord,semrush_2026-09-17,yes,no,,
65,880,/chords/d-diminished,https://pianogrid.com/chords/d-diminished,chords,detail,d diminished chord,semrush_2026-09-17,yes,no,,
66,880,/chords/d-flat-major,https://pianogrid.com/chords/d-flat-major,chords,detail,d flat major chord,semrush_2026-09-17,yes,no,,
67,880,/chords/f-m7,https://pianogrid.com/chords/f-m7,chords,detail,fm7 chord,semrush_2026-09-17,yes,no,,
68,880,/chords/f-sharp-major,https://pianogrid.com/chords/f-sharp-major,chords,detail,f sharp major chord,semrush_2026-09-17,yes,no,,
69,880,/guide/piano-scales,https://pianogrid.com/guide/piano-scales,guide,category,piano scales for beginners,url_plan_2026-09-08,yes,no,,
70,880,/keyboard-notes/blank,https://pianogrid.com/keyboard-notes/blank,keyboard-notes,tool,piano keys blank page,url_plan_2026-09-08,yes,no,,
71,880,/scales/a-major,https://pianogrid.com/scales/a-major,scales,detail,a major scale for piano,url_plan_2026-09-08,yes,no,,
72,880,/scales/c-minor,https://pianogrid.com/scales/c-minor,scales,detail,c minor scale piano,url_plan_2026-09-08,yes,no,,
